company_name,code,market
商赢环球,600146,shanghai
长春一东,600148,shanghai
ST坊展,600149,shanghai
中国船舶,600150,shanghai
航天机电,600151,shanghai
维科技术,600152,shanghai
建发股份,600153,shanghai
华创阳安,600155,shanghai
华升股份,600156,shanghai
永泰能源,600157,shanghai
中体产业,600158,shanghai
大龙地产,600159,shanghai
巨化股份,600160,shanghai
天坛生物,600161,shanghai
香江控股,600162,shanghai
中闽能源,600163,shanghai
新日恒力,600165,shanghai
福田汽车,600166,shanghai
联美控股,600167,shanghai
武汉控股,600168,shanghai
太原重工,600169,shanghai
上海建工,600170,shanghai
上海贝岭,600171,shanghai
黄河旋风,600172,shanghai
卧龙地产,600173,shanghai
美都能源,600175,shanghai
中国巨石,600176,shanghai
雅戈尔,600177,shanghai
东安动力,600178,shanghai
ST安通,600179,shanghai
瑞茂通,600180,shanghai
S*ST云大,600181,shanghai
S佳通,600182,shanghai
生益科技,600183,shanghai
光电股份,600184,shanghai
格力地产,600185,shanghai
*ST莲花,600186,shanghai
国中水务,600187,shanghai
兖州煤业,600188,shanghai
吉林森工,600189,shanghai
锦州港,600190,shanghai
华资实业,600191,shanghai
长城电工,600192,shanghai
ST创兴,600193,shanghai
中牧股份,600195,shanghai
复星医药,600196,shanghai
伊力特,600197,shanghai
大唐电信,600198,shanghai
金种子酒,600199,shanghai
江苏吴中,600200,shanghai
生物股份,600201,shanghai
哈空调,600202,shanghai
福日电子,600203,shanghai
S山东铝,600205,shanghai
有研新材,600206,shanghai
安彩高科,600207,shanghai
新湖中宝,600208,shanghai
ST罗顿,600209,shanghai
紫江企业,600210,shanghai
西藏药业,600211,shanghai
江泉实业,600212,shanghai
亚星客车,600213,shanghai
长春经开,600215,shanghai
浙江医药,600216,shanghai
中再资环,600217,shanghai
全柴动力,600218,shanghai
南山铝业,600219,shanghai
江苏阳光,600220,shanghai
海航控股,600221,shanghai
太龙药业,600222,shanghai
鲁商发展,600223,shanghai
天津松江,600225,shanghai
瀚叶股份,600226,shanghai
圣济堂,600227,shanghai
ST昌九,600228,shanghai
城市传媒,600229,shanghai
沧州大化,600230,shanghai
凌钢股份,600231,shanghai
金鹰股份,600232,shanghai
圆通速递,600233,shanghai
*ST山水,600234,shanghai
民丰特纸,600235,shanghai
桂冠电力,600236,shanghai
铜峰电子,600237,shanghai
ST椰岛,600238,shanghai
云南城投,600239,shanghai
*ST华业,600240,shanghai
时代万恒,600241,shanghai
中昌数据,600242,shanghai
青海华鼎,600243,shanghai
万通地产,600246,shanghai
ST成城,600247,shanghai
延长化建,600248,shanghai
两面针,600249,shanghai
南纺股份,600250,shanghai
冠农股份,600251,shanghai
中恒集团,600252,shanghai
天方药业,600253,shanghai
梦舟股份,600255,shanghai
广汇能源,600256,shanghai
大湖股份,600257,shanghai
首旅酒店,600258,shanghai
广晟有色,600259,shanghai
凯乐科技,600260,shanghai
阳光照明,600261,shanghai
北方股份,600262,shanghai
路桥建设,600263,shanghai
ST景谷,600265,shanghai
北京城建,600266,shanghai
海正药业,600267,shanghai
国电南自,600268,shanghai
赣粤高速,600269,shanghai
外运发展,600270,shanghai
航天信息,600271,shanghai
开开实业,600272,shanghai
嘉化能源,600273,shanghai
ST昌鱼,600275,shanghai
恒瑞医药,600276,shanghai
亿利洁能,600277,shanghai
东方创业,600278,shanghai
重庆港九,600279,shanghai
中央商场,600280,shanghai
太化股份,600281,shanghai
南钢股份,600282,shanghai
钱江水利,600283,shanghai
浦东建设,600284,shanghai
羚锐制药,600285,shanghai
S*ST国瓷,600286,shanghai
江苏舜天,600287,shanghai
大恒科技,600288,shanghai
*ST信通,600289,shanghai
华仪电气,600290,shanghai
西水股份,600291,shanghai
远达环保,600292,shanghai
三峡新材,600293,shanghai
鄂尔多斯,600295,shanghai
S兰铝,600296,shanghai
广汇汽车,600297,shanghai
安琪酵母,600298,shanghai
安迪苏,600299,shanghai
维维股份,600300,shanghai
ST南化,600301,shanghai
标准股份,600302,shanghai
曙光股份,600303,shanghai
恒顺醋业,600305,shanghai
商业城,600306,shanghai
酒钢宏兴,600307,shanghai
华泰股份,600308,shanghai
万华化学,600309,shanghai
桂东电力,600310,shanghai
荣华实业,600311,shanghai
平高电气,600312,shanghai
农发种业,600313,shanghai
上海家化,600315,shanghai
洪都航空,600316,shanghai
营口港,600317,shanghai
新力金融,600318,shanghai
亚星化学,600319,shanghai
振华重工,600320,shanghai
ST正源,600321,shanghai
天房发展,600322,shanghai
瀚蓝环境,600323,shanghai
华发股份,600325,shanghai
西藏天路,600326,shanghai
大东方,600327,shanghai
兰太实业,600328,shanghai
中新药业,600329,shanghai
天通股份,600330,shanghai
宏达股份,600331,shanghai
白云山,600332,shanghai
长春燃气,600333,shanghai
国机汽车,600335,shanghai
澳柯玛,600336,shanghai
美克家居,600337,shanghai
西藏珠峰,600338,shanghai
中油工程,600339,shanghai
华夏幸福,600340,shanghai
航天动力,600343,shanghai
长江通信,600345,shanghai
恒力石化,600346,shanghai
阳泉煤业,600348,shanghai
富通昭和,600349,shanghai
山东高速,600350,shanghai
亚宝药业,600351,shanghai
浙江龙盛,600352,shanghai
旭光股份,600353,shanghai
敦煌种业,600354,shanghai
精伦电子,600355,shanghai
恒丰纸业,600356,shanghai
承德钒钛,600357,shanghai
国旅联合,600358,shanghai
新农开发,600359,shanghai
华微电子,600360,shanghai
华联综超,600361,shanghai
江西铜业,600362,shanghai
联创光电,600363,shanghai
通葡股份,600365,shanghai
宁波韵升,600366,shanghai
红星发展,600367,shanghai
五洲交通,600368,shanghai
西南证券,600369,shanghai
三房巷,600370,shanghai
万向德农,600371,shanghai
中航电子,600372,shanghai
中文传媒,600373,shanghai
华菱星马,600375,shanghai
首开股份,600376,shanghai
宁沪高速,600377,shanghai
昊华科技,600378,shanghai
宝光股份,600379,shanghai
健康元,600380,shanghai
青海春天,600381,shanghai
广东明珠,600382,shanghai
金地集团,600383,shanghai
*ST金泰,600385,shanghai
北巴传媒,600386,shanghai
海越能源,600387,shanghai
龙净环保,600388,shanghai
江山股份,600389,shanghai
五矿资本,600390,shanghai
航发科技,600391,shanghai
盛和资源,600392,shanghai
粤泰股份,600393,shanghai
盘江股份,600395,shanghai
*ST金山,600396,shanghai
安源煤业,600397,shanghai
海澜之家,600398,shanghai
ST抚钢,600399,shanghai
红豆股份,600400,shanghai
退市海润,600401,shanghai
大有能源,600403,shanghai
动力源,600405,shanghai
国电南瑞,600406,shanghai
ST安泰,600408,shanghai
三友化工,600409,shanghai
华胜天成,600410,shanghai
小商品城,600415,shanghai
湘电股份,600416,shanghai
江淮汽车,600418,shanghai
天润乳业,600419,shanghai
现代制药,600420,shanghai
*ST仰帆,600421,shanghai
昆药集团,600422,shanghai
*ST柳化,600423,shanghai
青松建化,600425,shanghai
华鲁恒升,600426,shanghai
中远海特,600428,shanghai
三元股份,600429,shanghai
退市吉恩,600432,shanghai
XD冠豪高,600433,shanghai
北方导航,600435,shanghai
片仔癀,600436,shanghai
通威股份,600438,shanghai
瑞贝卡,600439,shanghai
国机通用,600444,shanghai
金证股份,600446,shanghai
华纺股份,600448,shanghai
宁夏建材,600449,shanghai
涪陵电力,600452,shanghai
博通股份,600455,shanghai
宝钛股份,600456,shanghai
时代新材,600458,shanghai
贵研铂业,600459,shanghai
士兰微,600460,shanghai
洪城水业,600461,shanghai
*ST九有,600462,shanghai
空港股份,600463,shanghai
蓝光发展,600466,shanghai
好当家,600467,shanghai
百利电气,600468,shanghai
风神股份,600469,shanghai
六国化工,600470,shanghai
包头铝业,600472,shanghai
华光股份,600475,shanghai
湘邮科技,600476,shanghai
杭萧钢构,600477,shanghai
科力远,600478,shanghai
千金药业,600479,shanghai
凌云股份,600480,shanghai
双良节能,600481,shanghai
中国动力,600482,shanghai
福能股份,600483,shanghai
*ST信威,600485,shanghai
扬农化工,600486,shanghai
亨通光电,600487,shanghai
天药股份,600488,shanghai
中金黄金,600489,shanghai
鹏欣资源,600490,shanghai
龙元建设,600491,shanghai
凤竹纺织,600493,shanghai
晋西车轴,600495,shanghai
精工钢构,600496,shanghai
驰宏锌锗,600497,shanghai
烽火通信,600498,shanghai
科达洁能,600499,shanghai
中化国际,600500,shanghai
航天晨光,600501,shanghai
安徽建工,600502,shanghai
华丽家族,600503,shanghai
西昌电力,600505,shanghai
香梨股份,600506,shanghai
方大特钢,600507,shanghai
上海能源,600508,shanghai
天富能源,600509,shanghai
黑牡丹,600510,shanghai
国药股份,600511,shanghai
腾达建设,600512,shanghai
联环药业,600513,shanghai
海航基础,600515,shanghai
方大炭素,600516,shanghai
置信电气,600517,shanghai
ST康美,600518,shanghai
贵州茅台,600519,shanghai
文一科技,600520,shanghai
华海药业,600521,shanghai
中天科技,600522,shanghai
贵航股份,600523,shanghai
长园集团,600525,shanghai
*ST菲达,600526,shanghai
江南高纤,600527,shanghai
中铁工业,600528,shanghai
山东药玻,600529,shanghai
交大昂立,600530,shanghai
豫光金铅,600531,shanghai
宏达矿业,600532,shanghai
栖霞建设,600533,shanghai
天士力,600535,shanghai
中国软件,600536,shanghai
亿晶光电,600537,shanghai
国发股份,600538,shanghai
ST狮头,600539,shanghai
新赛股份,600540,shanghai
莫高股份,600543,shanghai
卓郎智能,600545,shanghai
山煤国际,600546,shanghai
山东黄金,600547,shanghai
深高速,600548,shanghai
